Vin,Year,Make,Model,Style,Type,Doors,Fuel Type,City Mileage,Highway Mileage,Engine Type,Transmission,Drivetrain,MSRP
JTEZU14R460079669,2006,Toyota,4Runner,SPORT UTILITY 4-DR,Wagon,5,Gasoline,18 miles/gallon,22 miles/gallon,4.0L V6 DOHC 24V,5A,RWD,"$29,975 USD"
2HGFB2F56CH574963,2012,Honda,Civic,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,28 miles/gallon,39 miles/gallon,1.8L L4 SOHC 16V,5A,FWD,"$18,655 USD"
1FTEW1EG0FFA15149,2015,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,,,3.5L V6 TURBO,6A,4WD,"$41,215 USD"
1N4AL3APXGC273681,2016,Nissan,Altima,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,27 miles/gallon,39 miles/gallon,2.5L L4 DOHC 16V,CVT,FWD,"$22,900 USD"
5TFMV521X9X093250,2009,Toyota,Tundra,REGULAR CAB PICKUP 2-DR,Pickup,,Gasoline,13 miles/gallon,17 miles/gallon,5.7L V8 DOHC 32V,6A,4WD,"$28,070 USD"
4T1BE46KX8U783841,2008,Toyota,Camry,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,21 miles/gallon,31 miles/gallon,2.4L L4 DOHC 16V,5A,FWD,"$19,620 USD"
19XFB2F58CE002075,2012,Honda,Civic,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,28 miles/gallon,39 miles/gallon,1.8L L4 SOHC 16V,5A,FWD,"$18,655 USD"
1HGCR2F10HA189268,2017,Honda,Accord,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,26 miles/gallon,34 miles/gallon,2.4L L4 DOHC 16V,CVT,FWD,"$26,215 USD"
WVGAV7AX0HK030069,2017,Volkswagen,Tiguan,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,20 miles/gallon,24 miles/gallon,2.0L L4 DOHC 16V TURBO,6A,FWD,"$24,995 USD"
JHMGD37628S060228,2008,Honda,Fit,HATCHBACK 4-DR,Hatchback/Liftback/Notchback,5,Gasoline,28 miles/gallon,34 miles/gallon,1.5L L4 SOHC 16V,5M,FWD,"$15,270 USD"
SAJWA73B04TG31708,2004,Jaguar,XJ-Series,SEDAN 4-DR,Sedan/Saloon,4,,17 miles/gallon,24 miles/gallon,4.2L V8 DOHC 32V,6A,RWD,"$75,330 USD"
1FTEW1E56JKC80799,2018,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,16 miles/gallon,22 miles/gallon,5.0L V8 OHV 32V,6A,4WD,"$55,025 USD"
WVGAV7AX7HK019277,2017,Volkswagen,Tiguan,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,20 miles/gallon,24 miles/gallon,2.0L L4 DOHC 16V TURBO,6A,FWD,"$24,995 USD"
1FTEW1EG9HFB43201,2017,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,15 miles/gallon,21 miles/gallon,3.5L V6 TURBO,6A,4WD,"$42,425 USD"
TRUWT28N441022683,2004,Audi,TT,COUPE 2-DR,Coupe,2,Gasoline,20 miles/gallon,28 miles/gallon,1.8L L4 DOHC 20V TURBO,6M,AWD,"$36,700 USD"
1FMCU0J93HUA68100,2017,Ford,Escape,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,,,2.0L L4 DOHC 16V,6A,FWD,"$29,100 USD"
5TEUU42N16Z236798,2006,Toyota,Tacoma,EXTENDED CAB PICKUP 2-DR,Pickup,2,Gasoline,16 miles/gallon,20 miles/gallon,4.0L V6 DOHC 24V,6M,4WD,"$22,810 USD"
JT8BF28G7Y5097215,2000,Lexus,ES 300,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,19 miles/gallon,26 miles/gallon,3.0L V6 DOHC 24V,4A,FWD,"$31,505 USD"
1G2WP12K5XF267754,1999,Pontiac,Grand Prix,COUPE 2-DR,Coupe,2,,19 miles/gallon,30 miles/gallon,3.8L V6 OHV 12V,4A,FWD,"$21,140 USD"
1C6RR7GT6ES104243,2014,RAM,1500,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,15 - 16 miles/gallon,21 - 23 miles/gallon,5.7L V8 OHV 16V,8A,4WD,"$36,070 USD"
1FMEU73E28UA27260,2008,Ford,Explorer,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,13 miles/gallon,19 miles/gallon,4.0L V6 SOHC 16V,5A,4WD,"$28,815 USD"
1GNFC13J57R268566,2007,Chevrolet,Tahoe,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,16 miles/gallon,21 - 22 miles/gallon,5.3L V8 OHV 16V,4A,RWD,"$44,610 USD"
1FMCU0EG1AKC49691,2010,Ford,Escape,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,18 - 20 miles/gallon,26 - 28 miles/gallon,3.0L V6 DOHC 24V,6A,FWD,"$25,270 USD"
2GNALDEK4D6112513,2013,Chevrolet,Equinox,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,,,2.4L L4 DOHC 16V,6A,FWD,
1FMJU1K50DEF69166,2013,Ford,Expedition,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,14 miles/gallon,20 miles/gallon,5.4L V8 SOHC 16V FFV,6A,RWD,"$46,305 USD"
